2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1709630800.710579
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/socialaccount/providers/oauth2/__init__.py first seen with mtime 1711440621.374252
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/news/templatetags/bad_words.py first seen with mtime 1713512305.7893605
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/wsgiref/handlers.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django_filters/__init__.py first seen with mtime 1710913738.249335
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/requests/utils.py first seen with mtime 1711440620.178219
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1709630799.066537
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/urllib3/contrib/__init__.py first seen with mtime 1711440618.854183
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1709630800.562575
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/typing.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/requests/_internal_utils.py first seen with mtime 1711440620.170219
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/requests/__version__.py first seen with mtime 1711440620.170219
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/idna/package_data.py first seen with mtime 1711440619.618204
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/sqlparse/filters/others.py first seen with mtime 1709630799.070537
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1709630799.754554
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/kombu/utils/__init__.py first seen with mtime 1713160905.404126
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/http/response.py first seen with mtime 1709630800.670578
